,TIME,Air_Temperature
115,1996-04,8.4
116,1997-04,6.36
117,1998-04,8.85
118,1999-04,8.9
119,2000-04,10.15
120,2001-04,7.1
121,2002-04,8.06
122,2003-04,8.5
123,2004-04,9.35
124,2005-04,9.26
125,2006-04,8.04
126,2007-04,11.52
127,2008-04,7.64
128,2009-04,11.83
129,2010-04,8.69
130,2011-04,11.59
131,2012-04,8.15
132,2013-04,8.1
133,2014-04,10.77
134,2015-04,8.42
135,2016-04,7.89
136,2017-04,7.42
137,2018-04,12.32
138,2019-04,9.62
139,2020-04,10.35
140,2021-04,6.02
141,2022-04,7.75
142,2023-04,7.53
