,Time,Air_Temperature
115,1996-08,17.15
116,1997-08,19.81
117,1998-08,16.73
118,1999-08,17.17
119,2000-08,17.6
120,2001-08,18.59
121,2002-08,18.8
122,2003-08,20.56
123,2004-08,18.43
124,2005-08,15.78
125,2006-08,15.54
126,2007-08,16.86
127,2008-08,17.38
128,2009-08,18.65
129,2010-08,16.7
130,2011-08,17.72
131,2012-08,18.43
132,2013-08,17.93
133,2014-08,15.96
134,2015-08,19.87
135,2016-08,17.72
136,2017-08,17.87
137,2018-08,19.91
138,2019-08,19.06
139,2020-08,19.95
140,2021-08,16.4
141,2022-08,20.23
