,Date,Food_Price,Air_Temperature (°C),Precipitation (l/m²),Oil_price (USD per gallon),€/kWh
0,1996-01,74.9,-2.82,7.0,"16,52",
1,1996-02,75.5,-2.18,48.6,"17,76",
2,1996-03,76.1,1.0,23.3,"19,41",
3,1996-04,76.4,8.4,23.1,"19,02",
4,1996-05,76.2,11.15,91.4,"17,8",
5,1996-06,76.1,15.65,51.8,"18,91",
6,1996-07,76.1,15.89,94.1,"18,9",
7,1996-08,75.2,17.15,87.7,"20,78",
8,1996-09,74.5,10.9,50.3,"23,21",
9,1996-10,74.3,9.17,79.0,"22,67",
10,1996-11,74.2,4.48,86.1,"22,77",
11,1996-12,74.4,-2.36,40.5,"23,81",
12,1997-01,76.1,-2.63,11.2,"22,52",
13,1997-02,76.2,4.1,85.2,"18,85",
14,1997-03,75.8,5.84,48.4,"19,38",
15,1997-04,76.3,6.36,45.4,"18,52",
16,1997-05,76.9,12.66,64.3,"19,4",
17,1997-06,77.2,15.85,91.0,"18,51",
18,1997-07,76.7,17.15,111.9,"18,94",
19,1997-08,75.9,19.81,44.9,"18,51",
20,1997-09,75.8,13.7,25.4,"19,9",
21,1997-10,75.7,7.66,63.7,"20,02",
22,1997-11,75.9,3.98,38.3,"18,94",
23,1997-12,76.4,2.2,84.3,"16,52",
24,1998-01,77.4,2.39,64.4,"15,96",
25,1998-02,77.3,4.33,20.5,"14,17",
26,1998-03,77.0,4.98,69.6,"14,26",
27,1998-04,77.4,8.85,74.7,"14,46",
28,1998-05,77.9,14.03,45.1,"14,37",
29,1998-06,78.0,16.45,96.2,"13,38",
30,1998-07,77.4,16.42,81.7,"13,09",
31,1998-08,76.5,16.73,62.9,"12,56",
32,1998-09,76.1,13.35,111.2,"14,68",
33,1998-10,75.7,8.7,166.1,"13,22",
34,1998-11,76.0,1.55,74.3,"10,46",
35,1998-12,76.2,0.99,52.9,"10,53",
36,1999-01,77.0,2.6,66.1,"11,35",
37,1999-02,77.0,0.39,84.0,"10,88",
38,1999-03,76.9,5.41,63.0,"15,24",
39,1999-04,77.3,8.9,58.4,"16,57",
40,1999-05,77.3,13.76,76.0,"15,2",
41,1999-06,76.8,15.23,78.6,"17,51",
42,1999-07,76.1,18.98,71.6,"19,37",
43,1999-08,75.2,17.17,68.6,"21,33",
44,1999-09,74.9,16.82,54.2,"23,58",
45,1999-10,74.6,8.99,41.8,"21,69",
46,1999-11,74.8,3.46,54.6,"23,64",
47,1999-12,75.0,2.17,121.1,"25,08",
48,2000-01,75.9,1.06,54.8,"25,97",
49,2000-02,76.4,3.87,95.2,"28,09",
50,2000-03,75.8,5.17,105.5,"24,77",
51,2000-04,76.2,10.15,35.4,"23,89",
52,2000-05,76.5,14.62,66.0,"28,31",
53,2000-06,76.6,16.99,50.5,"30,57",
54,2000-07,76.2,15.3,120.8,"26,93",
55,2000-08,75.4,17.6,71.1,"31,72",
56,2000-09,75.1,13.91,81.7,"29,84",
57,2000-10,75.0,10.56,58.7,"30,76",
58,2000-11,75.4,6.1,49.1,"31,88",
59,2000-12,76.1,3.12,49.1,"23,87",
60,2001-01,77.4,0.87,61.1,"26,66",
61,2001-02,77.7,2.26,58.6,"25,57",
62,2001-03,78.5,4.23,109.2,"24,74",
63,2001-04,80.0,7.1,73.6,"27,89",
64,2001-05,81.5,14.39,40.3,"29,34",
65,2001-06,81.8,14.34,93.8,"26,08",
66,2001-07,81.3,18.56,68.9,"24,69",
67,2001-08,79.9,18.59,68.3,"26,41",
68,2001-09,79.7,11.77,138.5,"23,26",
69,2001-10,79.8,12.48,45.3,"20,37",
70,2001-11,79.3,3.82,84.9,"19,14",
71,2001-12,79.8,-0.21,86.3,"19,9",
72,2002-01,82.4,1.19,47.4,"19,18",
73,2002-02,82.0,5.05,114.9,"21,33",
74,2002-03,81.8,5.39,62.9,"25,92",
75,2002-04,81.8,8.06,54.0,"26,47",
76,2002-05,81.7,13.77,79.1,"24,45",
77,2002-06,80.9,17.39,70.9,"25,58",
78,2002-07,80.3,17.71,116.2,"25,44",
79,2002-08,79.4,18.8,119.8,"27,47",
80,2002-09,79.3,13.15,58.4,"28,75",
81,2002-10,79.0,8.29,108.9,"25,72",
82,2002-11,78.6,5.55,114.5,"25,16",
83,2002-12,78.9,0.34,71.2,"28,66",
84,2003-01,79.9,-0.25,82.8,"31,1",
85,2003-02,80.3,-1.86,21.0,"32,79",
86,2003-03,80.7,5.34,27.4,"27,18",
87,2003-04,80.9,8.5,36.6,"23,68",
88,2003-05,81.0,14.14,66.0,"26,32",
89,2003-06,81.3,19.35,51.9,"28,33",
90,2003-07,80.7,19.11,68.0,"28,37",
91,2003-08,79.7,20.56,33.1,"29,49",
92,2003-09,80.1,13.85,52.8,"27,61",
93,2003-10,80.2,5.94,74.1,"27,7",
94,2003-11,80.0,6.02,38.8,"28,45",
95,2003-12,80.2,1.81,55.7,"30,17",
96,2004-01,81.1,-0.09,109.4,"29,18",
97,2004-02,80.7,2.42,51.3,"32,23",
98,2004-03,80.5,4.11,37.6,"31,51",
99,2004-04,80.7,9.35,40.1,"34,48",
100,2004-05,80.9,11.58,72.3,"36,58",
101,2004-06,81.0,15.27,72.6,"34,5",
102,2004-07,80.5,16.8,104.0,"40,03",
103,2004-08,79.6,18.43,89.2,"39,61",
104,2004-09,79.1,14.01,64.3,"46,38",
105,2004-10,79.1,10.08,53.3,"48,98",
106,2004-11,79.0,4.21,72.8,"45,51",
107,2004-12,79.9,1.08,45.1,"40,46",
108,2005-01,80.2,2.03,71.0,"45,92",
109,2005-02,80.7,-1.03,67.7,"50,06",
110,2005-03,80.9,3.63,44.0,"54,29",
111,2005-04,80.8,9.26,57.0,"51,09",
112,2005-05,81.2,12.76,84.5,"50,73",
113,2005-06,81.2,16.38,53.3,"55,58",
114,2005-07,80.4,18.02,110.0,"59,37",
115,2005-08,79.6,15.78,83.7,"67,02",
116,2005-09,79.5,14.99,56.3,"63,48",
117,2005-10,79.2,10.99,40.3,"58,1",
118,2005-11,79.4,4.17,48.1,"55,05",
119,2005-12,80.1,0.87,69.4,"58,98",
120,2006-01,80.9,-2.59,26.7,"65,99",
121,2006-02,81.2,-0.36,54.4,"61,76",
122,2006-03,81.1,1.52,84.1,"65,91",
123,2006-04,81.5,8.04,66.2,"72,5",
124,2006-05,82.2,13.06,94.5,"70,41",
125,2006-06,82.3,16.82,47.2,"73,51",
126,2006-07,82.0,21.99,49.5,"75,15",
127,2006-08,81.7,15.54,135.8,"70,25",
128,2006-09,81.9,16.9,30.3,"62,48",
129,2006-10,81.6,12.14,59.1,"59,03",
130,2006-11,81.8,7.03,55.5,"64,26",
131,2006-12,82.2,4.43,46.7,"60,86",
132,2007-01,83.0,4.76,98.2,"57,4",0.0840857142857142
133,2007-02,82.9,3.94,75.8,"61,89",0.0840857142857142
134,2007-03,82.7,6.18,63.3,"68,1",0.0840857142857142
135,2007-04,83.7,11.52,4.0,"67,65",0.0840857142857142
136,2007-05,83.6,14.16,131.1,"68,04",0.0840857142857142
137,2007-06,83.7,17.38,108.6,"71,41",0.0840857142857142
138,2007-07,83.5,17.24,121.3,"77,05",0.0861571428571428
139,2007-08,83.7,16.86,95.0,"72,69",0.0861571428571428
140,2007-09,84.1,12.58,97.4,"79,17",0.0861571428571428
141,2007-10,85.6,8.35,26.4,"90,63",0.0861571428571428
142,2007-11,86.5,3.67,85.3,"88,26",0.0861571428571428
143,2007-12,87.1,1.59,63.1,"93,85",0.0861571428571428
144,2008-01,88.4,3.65,74.0,"92,21",0.0909142857142857
145,2008-02,88.4,3.72,45.3,"100,1",0.0909142857142857
146,2008-03,88.8,4.24,86.9,"100,3",0.0909142857142857
147,2008-04,89.1,7.64,80.2,"111,36",0.0909142857142857
148,2008-05,89.2,14.51,30.2,"127,78",0.0909142857142857
149,2008-06,89.2,16.94,59.1,"139,83",0.0909142857142857
150,2008-07,89.4,18.02,88.6,"123,98",0.0938857142857142
151,2008-08,89.0,17.38,87.6,"114,05",0.0938857142857142
152,2008-09,88.8,12.44,57.1,"98,17",0.0938857142857142
153,2008-10,89.0,9.09,76.2,"65,32",0.0938857142857142
154,2008-11,88.3,5.06,44.7,"53,49",0.0938857142857142
155,2008-12,88.9,1.06,48.5,"45,59",0.0938857142857142
156,2009-01,89.3,-2.16,33.2,"45,88",0.1021428571428571
157,2009-02,89.4,0.51,62.1,"46,35",0.1021428571428571
158,2009-03,88.9,4.3,77.7,"49,23",0.1021428571428571
159,2009-04,88.6,11.83,30.3,"50,8",0.1021428571428571
160,2009-05,88.1,13.62,76.0,"65,52",0.1021428571428571
161,2009-06,88.4,14.81,85.1,"69,3",0.1021428571428571
162,2009-07,87.3,18.01,107.6,"71,7",0.1079428571428571
163,2009-08,86.4,18.65,42.5,"69,65",0.1079428571428571
164,2009-09,86.1,14.69,41.6,"69,07",0.1079428571428571
165,2009-10,86.0,8.17,79.4,"75,2",0.1079428571428571
166,2009-11,86.4,7.38,93.0,"78,47",0.1079428571428571
167,2009-12,87.0,0.32,84.2,"77,93",0.1079428571428571
168,2010-01,88.1,-3.65,46.8,"71,46",0.1102714285714285
169,2010-02,88.3,-0.5,48.5,"77,59",0.1102714285714285
170,2010-03,89.1,4.2,52.2,"82,7",0.1102714285714285
171,2010-04,89.9,8.69,20.8,"87,44",0.1102714285714285
172,2010-05,89.3,10.43,103.3,"74,65",0.1102714285714285
173,2010-06,89.5,16.33,49.4,"75,01",0.1102714285714285
174,2010-07,89.6,20.33,81.5,"78,18",0.0973166666666666
175,2010-08,88.8,16.7,161.6,"74,64",0.0973166666666666
176,2010-09,88.7,12.39,82.7,"82,31",0.0973166666666666
177,2010-10,88.5,8.13,35.8,"83,15",0.0973166666666666
178,2010-11,89.3,4.76,96.9,"85,92",0.0973166666666666
179,2010-12,90.2,-3.66,89.1,"94,75",0.0973166666666666
180,2011-01,90.5,0.95,63.8,"101,01",0.09715
181,2011-02,91.2,0.93,30.5,"111,8",0.09715
182,2011-03,91.4,4.91,20.4,"117,36",0.09715
183,2011-04,91.4,11.59,25.0,"125,89",0.09715
184,2011-05,91.8,13.87,44.1,"116,73",0.09715
185,2011-06,91.3,16.54,89.9,"112,48",0.09715
186,2011-07,91.1,16.1,124.0,"116,74",0.09915
187,2011-08,90.8,17.72,97.0,"114,85",0.09915
188,2011-09,91.1,15.22,58.6,"102,76",0.09915
189,2011-10,91.3,9.39,53.1,"109,56",0.09915
190,2011-11,91.6,4.5,2.4,"110,52",0.09915
191,2011-12,92.2,3.9,124.1,"107,38",0.09915
192,2012-01,93.1,1.91,105.1,"110,98",0.09675
193,2012-02,94.3,-2.5,25.0,"122,66",0.09675
194,2012-03,94.7,6.94,14.9,"122,88",0.09675
195,2012-04,94.5,8.15,42.7,"119,47",0.09675
196,2012-05,94.0,14.21,52.8,"101,43",0.09675
197,2012-06,94.4,15.47,97.1,"97,88",0.09675
198,2012-07,93.8,17.39,99.0,"103,84",0.0954
199,2012-08,93.8,18.43,64.7,"114,05",0.0954
200,2012-09,93.7,13.63,49.0,"111,58",0.0954
201,2012-10,94.3,8.72,60.7,"107,56",0.0954
202,2012-11,95.5,5.2,58.5,"110,25",0.0954
203,2012-12,96.4,1.49,98.0,"109,89",0.0954
204,2013-01,97.3,0.2,64.4,"114,54",0.0939166666666666
205,2013-02,97.2,-0.72,51.1,"110,42",0.0939166666666666
206,2013-03,98.1,0.07,33.4,"110,02",0.0939166666666666
207,2013-04,98.2,8.1,39.9,"102,37",0.0939166666666666
208,2013-05,99.2,11.78,128.2,"100,39",0.0939166666666666
209,2013-06,99.4,15.66,91.8,"102,16",0.0939166666666666
210,2013-07,99.1,19.45,38.9,"107,7",0.0941166666666666
211,2013-08,98.1,17.93,56.4,"114,01",0.0941166666666666
212,2013-09,97.9,13.27,83.4,"108,37",0.0941166666666666
213,2013-10,98.0,10.64,77.8,"108,84",0.0941166666666666
214,2013-11,98.3,4.63,72.1,"109,69",0.0941166666666666
215,2013-12,100.0,3.56,41.2,"110,8",0.0941166666666666
216,2014-01,100.7,2.12,44.9,"106,4",0.0884333333333333
217,2014-02,100.6,4.34,32.1,"109,07",0.0884333333333333
218,2014-03,100.1,6.94,18.6,"107,76",0.0884333333333333
219,2014-04,99.8,10.77,42.4,"108,07",0.0884333333333333
220,2014-05,99.4,12.4,90.4,"109,41",0.0884333333333333
221,2014-06,99.3,16.09,51.4,"112,36",0.0884333333333333
222,2014-07,99.1,19.3,126.6,"106,02",0.0864833333333333
223,2014-08,98.5,15.96,97.2,"103,19",0.0864833333333333
224,2014-09,98.7,14.92,54.5,"94,67",0.0864833333333333
225,2014-10,98.6,11.88,63.7,"85,86",0.0864833333333333
226,2014-11,98.3,6.47,29.7,"70,15",0.0864833333333333
227,2014-12,98.7,2.73,75.5,"57,33",0.0864833333333333
228,2015-01,99.3,2.19,85.4,"52,99",0.0839666666666666
229,2015-02,100.1,0.72,22.3,"62,58",0.0839666666666666
230,2015-03,100.0,5.18,55.5,"55,11",0.0839666666666666
231,2015-04,100.8,8.42,41.4,"66,78",0.0839666666666666
232,2015-05,100.8,12.34,51.7,"65,56",0.0839666666666666
233,2015-06,100.1,15.82,57.5,"63,59",0.0839666666666666
234,2015-07,99.4,19.39,72.2,"52,21",0.084
235,2015-08,99.1,19.87,74.8,"54,15",0.084
236,2015-09,99.7,12.96,56.3,"48,37",0.084
237,2015-10,100.3,8.38,46.6,"49,56",0.084
238,2015-11,100.5,7.51,101.0,"44,61",0.084
239,2015-12,100.0,6.49,36.5,"37,28",0.084
240,2016-01,100.1,1.01,77.3,"34,74",0.0788166666666666
241,2016-02,100.9,3.33,77.8,"35,97",0.0788166666666666
242,2016-03,101.4,4.01,45.5,"39,6",0.0788166666666666
243,2016-04,101.6,7.89,53.3,"48,13",0.0788166666666666
244,2016-05,101.0,13.69,67.7,"49,69",0.0788166666666666
245,2016-06,100.5,16.99,115.5,"49,68",0.0788166666666666
246,2016-07,100.8,18.61,70.0,"42,46",0.0773499999999999
247,2016-08,100.2,17.72,46.2,"47,04",0.0773499999999999
248,2016-09,100.4,16.85,39.1,"49,06",0.07735
249,2016-10,100.4,8.49,57.0,"48,3",0.07735
250,2016-11,101.6,3.83,57.3,"50,47",0.0773499999999999
251,2016-12,102.8,2.16,26.5,"56,82",0.0773499999999999
252,2017-01,103.5,-2.15,45.2,"55,7",0.0756166666666666
253,2017-02,105.6,2.9,44.6,"55,59",0.0756166666666666
254,2017-03,103.7,7.2,57.0,"52,83",0.0756166666666666
255,2017-04,103.3,7.42,41.4,"51,73",0.0756166666666666
256,2017-05,103.2,14.13,59.6,"50,31",0.0756166666666666
257,2017-06,103.1,17.76,89.3,"47,92",0.0756166666666666
258,2017-07,103.4,18.06,132.4,"52,65",0.0751833333333333
259,2017-08,103.2,17.87,85.6,"52,38",0.0751833333333333
260,2017-09,103.8,12.79,66.3,"57,54",0.0751833333333333
261,2017-10,104.7,11.14,76.7,"61,37",0.0751833333333333
262,2017-11,104.9,5.11,81.5,"63,57",0.0751833333333333
263,2017-12,105.7,2.71,79.1,"66,87",0.0751833333333333
264,2018-01,106.5,3.72,101.7,"69,05",0.07695
265,2018-02,106.4,-1.87,17.8,"65,78",0.07695
266,2018-03,106.6,2.36,50.9,"70,27",0.07695
267,2018-04,106.7,12.32,37.7,"75,17",0.07695
268,2018-05,106.9,16.03,52.0,"77,59",0.07695
269,2018-06,106.5,17.73,47.4,"79,44",0.07695
270,2018-07,106.1,20.29,40.0,"74,25",0.0783333333333333
271,2018-08,105.8,19.91,42.0,"77,42",0.0783333333333333
272,2018-09,106.7,15.09,44.2,"82,72",0.0783333333333333
273,2018-10,106.6,10.72,28.4,"75,47",0.0783333333333333
274,2018-11,106.4,5.21,20.2,"58,71",0.0783333333333333
275,2018-12,106.8,3.9,104.1,"53,8",0.0783333333333333
276,2019-01,107.3,0.63,81.8,"61,89",0.0843833333333333
277,2019-02,107.9,3.95,29.9,"66,03",0.0843833333333333
278,2019-03,107.4,6.58,74.7,"68,39",0.0843833333333333
279,2019-04,107.4,9.62,29.4,"72,8",0.0843833333333333
280,2019-05,107.8,10.99,78.6,"64,49",0.0843833333333333
281,2019-06,108.0,19.78,55.6,"66,55",0.0843833333333333
282,2019-07,108.3,18.9,56.0,"65,17",0.073
283,2019-08,108.5,19.06,63.0,"60,43",0.073
284,2019-09,108.3,14.05,64.5,"60,78",0.073
285,2019-10,107.9,10.81,83.8,"60,23",0.073
286,2019-11,108.4,5.22,58.9,"62,43",0.073
287,2019-12,109.0,3.75,58.8,66,0.073
288,2020-01,110.0,3.48,40.5,"58,16",0.0809833333333333
289,2020-02,111.6,5.29,124.1,"50,52",0.0809833333333333
290,2020-03,111.4,5.27,50.9,"22,74",0.0809833333333333
291,2020-04,112.6,10.35,16.3,"25,27",0.0809833333333333
292,2020-05,112.7,11.91,38.4,"35,33",0.0809833333333333
293,2020-06,112.5,16.89,90.9,"41,15",0.0809833333333333
294,2020-07,109.5,17.69,51.8,"43,3",0.0848666666666666
295,2020-08,109.2,19.95,85.5,"45,28",0.0848666666666666
296,2020-09,109.0,14.82,50.0,"40,95",0.0848666666666666
297,2020-10,109.4,10.21,78.4,"37,46",0.0848666666666666
298,2020-11,109.9,6.18,20.7,"47,59",0.0848666666666666
299,2020-12,109.5,3.08,57.5,"51,8",0.0848666666666666
300,2021-01,112.3,0.63,80.2,"55,88",0.0874833333333333
301,2021-02,113.2,1.71,48.9,"66,13",0.0874833333333333
302,2021-03,113.1,4.77,46.0,"63,54",0.0874833333333333
303,2021-04,114.5,6.02,34.7,"67,25",0.0874833333333333
304,2021-05,114.2,10.72,94.9,"69,32",0.0874833333333333
305,2021-06,113.8,18.98,95.4,"75,13",0.0874833333333333
306,2021-07,114.2,18.37,107.2,"76,33",0.0983333333333333
307,2021-08,114.2,16.4,102.5,"72,99",0.0983333333333333
308,2021-09,114.2,15.16,35.3,"78,52",0.0983333333333333
309,2021-10,114.2,9.63,44.8,"84,38",0.0983333333333333
310,2021-11,114.8,4.9,49.7,"70,57",0.0983333333333333
311,2021-12,116.0,2.58,61.4,"77,78",0.0983333333333333
312,2022-01,117.8,2.79,58.2,"91,21",0.1491166666666666
313,2022-02,119.1,4.47,83.7,"100,99",0.1491166666666666
314,2022-03,120.1,5.09,15.0,"107,91",0.1491166666666666
315,2022-04,124.2,7.75,56.5,"109,34",0.1491166666666666
316,2022-05,126.7,14.44,47.0,"122,84",0.1491166666666666
317,2022-06,128.0,18.33,56.2,"114,81",0.1491166666666666
318,2022-07,130.8,19.13,37.8,"110,01",0.18485
319,2022-08,132.9,20.23,48.9,"96,49",0.18485
320,2022-09,135.2,13.37,100.0,"87,96",0.18485
321,2022-10,136.9,12.52,49.7,"94,83",0.18485
322,2022-11,138.7,6.35,48.9,"85,43",0.18485
323,2022-12,139.8,1.8,67.1,"85,91",0.18485
324,2023-01,142.0,3.62,69.4,"84,49",
325,2023-02,145.6,3.21,43.1,"83,89",
326,2023-03,147.6,5.74,90.4,"79,77",
327,2023-04,146.5,7.53,63.6,"79,54",
328,2023-05,146.2,13.08,42.7,"72,66",
329,2023-06,146.0,18.56,50.4,"74,9",
330,2023-07,,18.72,97.0,"85,43",
331,2023-08,,,,"84,14",
